,Description,Price,Sq_feet
356,2 Bedroom Independent House for rent in Beeramguda,9500,700
357,1 BHK Independent Builder Floor for rent in Jagatgiri gutta,6500,200
358,6 Bedroom Independent House for rent in Ameerpet,1.65,7000
359,2 BHK Independent Builder Floor for rent in Beeramguda,10000,1300
360,3 BHK Independent Builder Floor for rent in Madhapur,24000,1800
361,1 BHK Residential Apartment for rent in Jubilee Hills,8000,1400
362,1 BHK Independent Builder Floor for rent in Begumpet,7000,701
363,1 Bedroom Independent House for rent in Amberpet,6000,600
364,1 Bedroom Independent House for rent in Amberpet,6000,600
365,1 Bedroom Independent House for rent in Amberpet,6000,600
366,1 Bedroom Independent House for rent in Boduppal,5500,400
367,1 BHK Independent Builder Floor for rent in YousufGuda,8000,750
368,5 Bedroom Independent House for rent in Chintal,21000,900
369,4 Bedroom Independent House for rent in Kismathpur,88800,4261
370,2 BHK Residential Apartment for rent in Hayathnagar,10000,2250
371,2 BHK Independent Builder Floor for rent in Beeramguda,8000,900
372,"2 Bedroom Independent House for rent in Bhima Nagar, ZP Road, Hastinapuram",14000,1260
373,2 BHK Independent Builder Floor for rent in Nanakramguda,14000,1100
374,2 Bedroom Independent House for rent in Vidya nagar,11500,1000
375,1 BHK Residential Apartment for rent in Bharat Nagar Colony,10500,1080
376,1 Bedroom Independent House for rent in New Nagole Colony,7500,200
377,1 BHK Independent Builder Floor for rent in New Sai Nagar Colony,7500,700
378,3 BHK Residential Apartment for rent in BESIDE HIDAYAH ISLAMIC INTERNATIONAL SCHOOL,13500,1288
379,"2 BHK Residential Apartment for rent in Kukatpally,Western hills road",16000,1050
380,1 Bedroom Independent House for rent in Moosapet,10000,125
381,2 BHK Independent Builder Floor for rent in Chandanagar,9500,1000
382,4 Bedroom Independent House for rent in Kismathpur,45000,2700
383,Residential property for rent in Lanco Hills,35000,1817
384,6 Bedroom Independent House for rent in Miyapur,on,320
385,1 Bedroom Independent House for rent in bandimet,9500,520
386,3 BHK Residential Apartment for rent in Tolichowki,14000,300
387,1 BHK Independent Builder Floor for rent in Bahadurpally,15000,500
388,2 Bedroom Independent House for rent in Parmeshwar colony,6000,900
389,2 BHK Independent Builder Floor for rent in Vasanth nagar,17000,1050
390,2 BHK Independent Builder Floor for rent in Vasanth nagar,17000,1050
391,2 BHK Residential Apartment for rent in Sindhi Colony,25000,1050
392,2 BHK Residential Apartment for rent in King koti,22050,1000
393,2 BHK Residential Apartment for rent in Isnapur,10000,1190
394,3 BHK Independent Builder Floor for rent in Al Hasnath Colony,32000,1899
395,2 BHK Residential Apartment for rent in OU Colony,10000,1980
396,1 BHK Independent Builder Floor for rent in Ghatkesar,5000,1980
397,1 BHK Independent Builder Floor for rent in Allwyn Colony,8500,600
398,4 Bedroom Independent House for rent in Rasoolpura,39000,2500
399,1 Bedroom Independent House for rent in Ram Nagar,20000,792
400,3 BHK Residential Apartment for rent in Miyapur,23000,1550
401,2 BHK Residential Apartment for rent in Kothapet,5500,650
402,1 Bedroom Independent House for rent in Jagatgiri gutta,7000,1000
403,2 BHK Residential Apartment for rent in DWARAKAPURAM,9000,850
404,3 BHK Residential Apartment for rent in Gachibowli,32500,1380
405,2 BHK Residential Apartment for rent in Pragathi Nagar,15000,1050
406,"2 BHK Residential Apartment for rent in Gauthamnagar, Patancheru",12000,1100
407,3 BHK Residential Apartment for rent in Musheerabad,35000,1500
408,3 BHK Residential Apartment for rent in Gachibowli,19000,1540
409,1 Bedroom Independent House for rent in Medipally,6000,165
410,3 BHK Residential Apartment for rent in Sanjeeva Reddy Nagar,16000,1300
411,1 Bedroom Independent House for rent in Bollaram,on,450
412,2 BHK Residential Apartment for rent in Bandlaguda,16000,1500
413,"2 BHK Independent Builder Floor for rent in Shivaji Nagar,",10000,900
414,3 BHK Residential Apartment for rent in Gachibowli,30000,1384
415,2 BHK Independent Builder Floor for rent in Uppal hills colony,8000,1200
416,2 BHK Independent Builder Floor for rent in Uppal hills colony,8000,1200
417,2 BHK Residential Apartment for rent in Begumpet,16500,900
418,1 Bedroom Independent House for rent in Badangpet,2500,900
419,3 BHK Independent Builder Floor for rent in Bandlaguda,12000,500
420,1 BHK Independent Builder Floor for rent in Langer House,8000,900
421,Residential property for rent in Gachibowli,10000,450
422,"2 BHK Residential Apartment for rent in Machabollarum, Alwal, Secunderabad",6500,950
423,3 BHK Residential Apartment for rent in Tarnaka,24000,13050
424,4 Bedroom Independent House for rent in Punjagutta,1.2,4200
425,2 BHK Independent Builder Floor for rent in Banjara hills,55000,1900
426,2 BHK Residential Apartment for rent in Sardar Patel Nagar,15000,1050
427,2 BHK Independent Builder Floor for rent in Nagole,8500,950
428,2 BHK Residential Apartment for rent in Boduppal,7000,1050
429,3 BHK Residential Apartment for rent in Narsingi,28500,1765
430,2 Bedroom Independent House for rent in sripuri colony karkhana,12000,1000
431,2 BHK Residential Apartment for rent in Malkajgiri,13500,850
432,2 BHK Residential Apartment for rent in Malkajgiri,13000,840
433,2 BHK Independent Builder Floor for rent in Hema Nagar,7500,900
434,2 BHK Residential Apartment for rent in Peerzadiguda,7000,1050
435,3 BHK Residential Apartment for rent in Kondapur,25000,1800
436,4 BHK Independent Builder Floor for rent in Deluxe Colony,30000,2000
437,3 BHK Independent Builder Floor for rent in Tolichowki,30000,1600
